list,order,item,audio,condition,concept,prime,colour_repetition,prime_description,target_description,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,target_pattern,all_prime_pattern,filler_prime_category,filler_target_category,target_object,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_repeated_prime_DiffN_SameC_DiffP,distractor5_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,alternative noun,alternative colour,alternative pattern,targetPosition,distractor1Position,distractor2Position,distractor4Position,distractor3Position,distractor6_repeatedPrimePosition,distractor5Position,distractor7_nonRepeatedPrimePosition,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
1,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
2,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
3,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
4,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
5,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
6,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
7,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
8,1,f21,f21RC.mp3,9,,RC,,The fork that's pointing right,small fork that's pointing left,,fork,,,fork,,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,,,,N,2,6,forkGreyLargeLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
1,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
2,2,f16,f16.mp3,9,,AN,,The small chisel,chisel upside down,,chisel,,,chisel,,,,size,direction,chiselBlueSmallUpsideDown,,,,,,,,,,,,,,,,,,,N,7,1,chiselBlueLargeUpsideDown.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueLarge.png,caterpillarGreenLarge.png,caterpillarGreenSmall.png,chiselBlueSmall.png,caterpillarGreenLarge.png
